date,conversion_id,channel,revenue,emails_sent,impressions_social,clicks,spend
2024-08-01,CONV-1,PPC,73.8,,,,250.82
2024-08-01,CONV-2,PPC,69.11,,,,250.82
2024-08-01,CONV-3,PPC,75.05,,,,250.82
2024-08-01,CONV-4,PPC,79.78,,,,250.82
2024-08-01,CONV-5,PPC,58.87,,,,250.82
2024-08-01,CONV-6,PPC,60.46,,,,250.82
2024-08-01,CONV-7,PPC,22.24,,,,250.82
2024-08-01,CONV-8,PPC,150.99,,,,250.82
2024-08-01,CONV-9,PPC,67.84,,,,250.82
2024-08-01,CONV-10,PPC,120.84,,,,250.82
2024-08-01,CONV-11,PPC,266.65,,,,250.82
2024-08-01,CONV-12,Email,141.56,1999.0,,110.0,
2024-08-01,CONV-13,Email,130.2,1999.0,,110.0,
2024-08-01,CONV-14,Email,76.78,1999.0,,110.0,
2024-08-01,CONV-15,Email,91.87,1999.0,,110.0,
2024-08-01,CONV-16,Email,75.34,1999.0,,110.0,
2024-08-01,CONV-17,Email,117.35,1999.0,,110.0,
2024-08-01,CONV-18,Email,165.24,1999.0,,110.0,
2024-08-01,CONV-19,Email,99.51,1999.0,,110.0,
2024-08-01,CONV-20,Email,81.11,1999.0,,110.0,
2024-08-01,CONV-21,Social Media,44.2,,16755.0,228.0,172.82
2024-08-01,CONV-22,Social Media,75.14,,16755.0,228.0,172.82
2024-08-01,CONV-23,Social Media,47.45,,16755.0,228.0,172.82
2024-08-01,CONV-24,Social Media,101.23,,16755.0,228.0,172.82
2024-08-02,CONV-25,PPC,50.42,,,,366.19
2024-08-02,CONV-26,PPC,57.21,,,,366.19
2024-08-02,CONV-27,PPC,100.75,,,,366.19
2024-08-02,CONV-28,PPC,196.8,,,,366.19
2024-08-02,CONV-29,PPC,70.26,,,,366.19
2024-08-02,CONV-30,PPC,97.65,,,,366.19
2024-08-02,CONV-31,PPC,73.67,,,,366.19
2024-08-02,CONV-32,PPC,134.21,,,,366.19
2024-08-02,CONV-33,PPC,99.07,,,,366.19
2024-08-02,CONV-34,PPC,106.61,,,,366.19
2024-08-02,CONV-35,PPC,64.64,,,,366.19
2024-08-02,CONV-36,PPC,35.94,,,,366.19
2024-08-02,CONV-37,PPC,92.95,,,,366.19
2024-08-02,CONV-38,PPC,81.95,,,,366.19
2024-08-02,CONV-39,PPC,44.33,,,,366.19
2024-08-02,CONV-40,PPC,62.9,,,,366.19
2024-08-02,CONV-41,PPC,75.68,,,,366.19
2024-08-02,CONV-42,PPC,105.65,,,,366.19
2024-08-02,CONV-43,PPC,64.0,,,,366.19
2024-08-02,CONV-44,PPC,91.73,,,,366.19
2024-08-02,CONV-45,PPC,110.22,,,,366.19
2024-08-02,CONV-46,PPC,159.39,,,,366.19
2024-08-02,CONV-47,PPC,52.62,,,,366.19
2024-08-02,CONV-48,PPC,95.75,,,,366.19
2024-08-02,CONV-49,Email,158.36,1845.0,,90.99958338541356,
2024-08-02,CONV-50,Email,103.73,1845.0,,90.99958338541356,
2024-08-02,CONV-51,Email,93.36,1845.0,,90.99958338541356,
2024-08-02,CONV-52,Email,104.0,1845.0,,90.99958338541356,
2024-08-02,CONV-53,Email,109.07,1845.0,,90.99958338541356,
2024-08-02,CONV-54,Email,99.08,1845.0,,90.99958338541356,
2024-08-02,CONV-55,Email,139.01,1845.0,,90.99958338541356,
2024-08-02,CONV-56,Email,72.53,1845.0,,90.99958338541356,
2024-08-02,CONV-57,Social Media,89.75,,11082.0,133.0,112.54
2024-08-02,CONV-58,Social Media,238.41,,11082.0,133.0,112.54
2024-08-03,CONV-59,PPC,75.75,,,,226.53
2024-08-03,CONV-60,PPC,44.4,,,,226.53
2024-08-03,CONV-61,PPC,64.37,,,,226.53
2024-08-03,CONV-62,PPC,56.35,,,,226.53
2024-08-03,CONV-63,PPC,59.89,,,,226.53
2024-08-03,CONV-64,PPC,75.38,,,,226.53
2024-08-03,CONV-65,PPC,90.84,,,,226.53
2024-08-03,CONV-66,PPC,116.77,,,,226.53
2024-08-03,CONV-67,Email,116.24,2138.0,,115.99666833293657,
2024-08-03,CONV-68,Email,88.35,2138.0,,115.99666833293657,
2024-08-03,CONV-69,Email,111.95,2138.0,,115.99666833293657,
2024-08-03,CONV-70,Email,107.02,2138.0,,115.99666833293657,
2024-08-03,CONV-71,Email,91.1,2138.0,,115.99666833293657,
2024-08-03,CONV-72,Email,224.7,2138.0,,115.99666833293657,
2024-08-03,CONV-73,Email,111.54,2138.0,,115.99666833293657,
2024-08-03,CONV-74,Email,76.73,2138.0,,115.99666833293657,
2024-08-03,CONV-75,Social Media,110.18,,15450.0,175.0,142.8
2024-08-03,CONV-76,Social Media,119.78,,15450.0,175.0,142.8
2024-08-03,CONV-77,Social Media,45.7,,15450.0,175.0,142.8
2024-08-03,CONV-78,Social Media,94.87,,15450.0,175.0,142.8
2024-08-03,CONV-79,Social Media,75.06,,15450.0,175.0,142.8
2024-08-04,CONV-80,PPC,101.33,,,,366.72
2024-08-04,CONV-81,PPC,98.57,,,,366.72
2024-08-04,CONV-82,PPC,91.84,,,,366.72
2024-08-04,CONV-83,PPC,135.16,,,,366.72
2024-08-04,CONV-84,PPC,76.37,,,,366.72
2024-08-04,CONV-85,PPC,37.84,,,,366.72
2024-08-04,CONV-86,PPC,180.08,,,,366.72
2024-08-04,CONV-87,PPC,260.46,,,,366.72
2024-08-04,CONV-88,PPC,120.78,,,,366.72
2024-08-04,CONV-89,PPC,43.05,,,,366.72
2024-08-04,CONV-90,PPC,45.36,,,,366.72
2024-08-04,CONV-91,PPC,149.58,,,,366.72
2024-08-04,CONV-92,PPC,81.07,,,,366.72
2024-08-04,CONV-93,PPC,55.95,,,,366.72
2024-08-04,CONV-94,PPC,248.5,,,,366.72
2024-08-04,CONV-95,PPC,47.41,,,,366.72
2024-08-04,CONV-96,PPC,73.51,,,,366.72
2024-08-04,CONV-97,PPC,42.48,,,,366.72
2024-08-04,CONV-98,PPC,169.15,,,,366.72
2024-08-04,CONV-99,PPC,50.54,,,,366.72
2024-08-04,CONV-100,PPC,134.5,,,,366.72
2024-08-04,CONV-101,PPC,92.47,,,,366.72
2024-08-04,CONV-102,PPC,64.89,,,,366.72
2024-08-04,CONV-103,Email,132.86,2374.0,,123.98876264947198,
2024-08-04,CONV-104,Email,134.03,2374.0,,123.98876264947198,
2024-08-04,CONV-105,Email,138.27,2374.0,,123.98876264947198,
2024-08-04,CONV-106,Email,69.17,2374.0,,123.98876264947198,
2024-08-04,CONV-107,Email,179.77,2374.0,,123.98876264947198,
2024-08-04,CONV-108,Email,81.24,2374.0,,123.98876264947198,
2024-08-04,CONV-109,Email,120.76,2374.0,,123.98876264947198,
2024-08-04,CONV-110,Email,182.9,2374.0,,123.98876264947198,
2024-08-04,CONV-111,Email,190.31,2374.0,,123.98876264947198,
2024-08-04,CONV-112,Email,197.45,2374.0,,123.98876264947198,
2024-08-04,CONV-113,Email,89.48,2374.0,,123.98876264947198,
2024-08-04,CONV-114,Email,102.16,2374.0,,123.98876264947198,
2024-08-04,CONV-115,Social Media,52.59,,18373.0,268.0,171.98
2024-08-04,CONV-116,Social Media,189.45,,18373.0,268.0,171.98
2024-08-04,CONV-117,Social Media,52.57,,18373.0,268.0,171.98
2024-08-04,CONV-118,Social Media,15.34,,18373.0,268.0,171.98
2024-08-04,CONV-119,Social Media,143.56,,18373.0,268.0,171.98
2024-08-04,CONV-120,Social Media,20.64,,18373.0,268.0,171.98
2024-08-05,CONV-121,PPC,70.42,,,,280.78
2024-08-05,CONV-122,PPC,39.04,,,,280.78
2024-08-05,CONV-123,PPC,52.01,,,,280.78
2024-08-05,CONV-124,PPC,133.68,,,,280.78
2024-08-05,CONV-125,PPC,53.62,,,,280.78
2024-08-05,CONV-126,PPC,45.0,,,,280.78
2024-08-05,CONV-127,PPC,51.06,,,,280.78
2024-08-05,CONV-128,PPC,175.66,,,,280.78
2024-08-05,CONV-129,PPC,89.2,,,,280.78
2024-08-05,CONV-130,PPC,149.66,,,,280.78
2024-08-05,CONV-131,PPC,141.22,,,,280.78
